trial,balanced,moderate,greedy
164,79.6217434575,3045.2268949522,198387.1672665653
165,368.4530031079,4384.3970283164,224090.4054382336
166,65.9856027978,3416.8970518678,197754.5266827662
167,94.7959535155,3375.9963764229,210358.5112640739
168,7.9189069834,4359.7578388787,214587.8314833787
169,159.2824353186,2618.5423186532,204196.3196664365
170,345.0910181797,6045.0549871438,223993.0815074474
171,204.5103952668,4220.3313477325,220571.7967360372
172,57.9451653489,3561.2446610811,207979.7600662935
173,81.5987616321,3815.2372088593,195060.3423787222
174,4.2256493648,3698.9417473407,205170.2546326142
175,82.0505003409,3435.2391688335,194469.5425612118
176,146.1865547438,4528.3481993841,209685.5595672540
177,103.4778427320,3847.2884650724,205247.7220817759
178,226.0646740884,4440.3232580012,200341.5260639543
179,195.4393277496,3462.9804398436,207089.9532288110
180,33.3776157468,3807.9467803547,208271.5007373872
181,107.8561496053,3621.5453110395,186064.4915634650
182,106.2504867525,4117.6421631759,215072.5680026837
183,50.1824500272,4417.6857259499,203106.7115065006
184,135.1013600553,3506.4922164277,198145.8032107127
185,68.2180197661,3315.4248916936,183548.7495378985
186,191.1579719437,4134.2197181070,190413.2201687491
187,8.9164355571,2821.8244935441,202785.3900067579
188,63.3830468487,3726.2802818744,196501.3685158711
189,14.1566216974,3537.4285822039,190220.3034134065
190,40.4538902775,3719.3564899623,198385.0000577932
191,14.7639162291,3683.3194030019,228012.6027186150
192,29.7037341760,3075.2720933943,186847.7504537023
193,34.8364594772,4511.2948201981,195704.4137999991
194,12.1098413085,3919.5193958569,202785.5399199986
195,21.9510322614,3804.6906122909,209636.5237357926
196,84.6542537223,3024.4877917191,201668.4196384797
197,216.7301894977,5099.7740659805,208689.2237229744
198,312.0928964780,3670.4125946587,206020.9978911028
199,60.5077160726,3819.1978567373,218644.5375349634
200,20.8195696635,3368.9346440629,194186.7218125903
201,57.0470552091,4331.8517164620,199825.6869514128
202,35.5707282476,5240.7994987638,198676.8072585757
203,37.9009727707,3906.0619258685,191292.9786165518
